manifest_id,intent,eval_subtype,aoi_ids,start_year,end_year,start_date,end_date,canopy_cover,forest_filter,intersections,crop_types,gas_types,land_cover_classes,date_expression,expected_language,phrasing,n_cases,judge_note,notes,evaluators
m-dist-comp-01,comparison,two_country,BRA;IDN,,,2024-01-01,2024-12-31,,,driver,,,,absolute_date_range,en,direct,2,Compare total disturbed area (area_ha) attributed by driver over 2024 for the two countries; which is higher is the verifiable core.,,
m-dist-comp-02,comparison,two_country,COD;PER,,,2024-01-01,2024-06-30,,,natural_lands,,,,absolute_date_range,en,direct,1,Compare disturbed area (area_ha) within natural land classes for 1 Jan to 30 Jun 2024.,,
m-dist-comp-03,comparison,two_country,BOL;COL,,,2024-01-01,2024-12-31,,,grasslands,,,,absolute_date_range,en,conversational,1,"Compare disturbed area (area_ha) in natural grasslands, shrublands and savannas over 2024.",,
m-dist-comp-04,comparison,two_country,IDN;MYS,,,2024-03-01,2024-08-31,,,land_cover,,,,absolute_date_range,en,direct,1,Compare disturbed area (area_ha) by land-cover class for 1 Mar to 31 Aug 2024.,,
m-dist-comp-05,comparison,two_period,BRA,,,2024-01-01,2024-12-31,,,driver,,,,absolute_date_range,en,direct,1,Compare the two halves of 2024 (2024-01-01..2024-06-30 vs 2024-07-01..2024-12-31) for disturbed area (area_ha) by driver; both sub-periods precede the recent 90-day LDACS gap.,,clarification;aoi;dataset;parameters;data_pull;answer;chart_type;ground_truth
m-dist-comp-06,comparison,two_period,IDN,,,2024-01-01,2024-12-31,,,natural_lands,,,,absolute_date_range,en,direct,1,Compare the two halves of 2024 (2024-01-01..2024-06-30 vs 2024-07-01..2024-12-31) for disturbed area (area_ha) within natural land classes.,,clarification;aoi;dataset;parameters;data_pull;answer;chart_type;ground_truth
m-dist-comp-07,comparison,two_country,CRI;GHA,,,2024-01-01,2024-12-31,,,land_cover,,,,absolute_date_range,en,imprecise,1,Compare disturbed area (area_ha) by land-cover class over 2024; Costa Rica magnitudes are small but the comparative direction must still be correct.,near-zero AOI,
m-dist-comp-08,comparison,two_period,COD,,,2024-01-01,2024-12-31,,,grasslands,,,,absolute_date_range,en,conversational,1,"Compare the two halves of 2024 (2024-01-01..2024-06-30 vs 2024-07-01..2024-12-31) for disturbed area (area_ha) in natural grasslands, shrublands and savannas.",,clarification;aoi;dataset;parameters;data_pull;answer;chart_type;ground_truth
m-dist-comp-09,comparison,two_country,BRA;COD,,,2024-01-01,2024-12-31,,,natural_lands,,,,absolute_date_range,en,direct,2,Compare disturbed area (area_ha) within natural land classes over 2024.,,
m-dist-comp-10,comparison,two_period,PER,,,2024-07-01,2025-06-30,,,driver,,,,absolute_date_range,en,direct,1,"Compare 2024-07-01..2024-12-31 vs 2025-01-01..2025-06-30 for disturbed area (area_ha) by driver; LDACS classification is unavailable for roughly the most recent 90 days (about Apr to Jun 2025), so the later sub-period driver breakdown is partial and the comparison should carry that caveat.",quarterly LDACS gap,clarification;aoi;dataset;parameters;data_pull;answer;chart_type;ground_truth
