manifest_id,intent,eval_subtype,aoi_ids,start_year,end_year,start_date,end_date,canopy_cover,forest_filter,intersections,crop_types,gas_types,land_cover_classes,date_expression,expected_language,phrasing,n_cases,judge_note,notes,evaluators
m-dist-quant-01,quantification,by_driver,BRA,,,2024-01-01,2024-12-31,,,driver,,,,absolute_date_range,en,direct,1,"Headline is disturbed area (area_ha) attributed by likely-cause/driver over 2024; the full year falls within LDACS most-recent-12-months coverage so the driver breakdown is available; interpret alerts as indicators, not confirmed conversion.",,
m-dist-quant-02,quantification,by_natural_lands,COD,,,2024-01-01,2024-06-30,,,natural_lands,,,,absolute_date_range,en,direct,1,"Headline is disturbed area (area_ha) within natural land classes for 1 Jan to 30 Jun 2024; natural_lands is not LDACS so no 90-day classification gap applies.",,
m-dist-quant-03,quantification,by_land_cover,IDN,,,2024-03-01,2024-05-31,,,land_cover,,,,absolute_date_range,en,conversational,1,"Headline is disturbed area (area_ha) by land-cover class for 1 Mar to 31 May 2024.",,
m-dist-quant-04,quantification,by_grasslands,BOL,,,2024-01-01,2024-12-31,,,grasslands,,,,absolute_date_range,en,direct,1,"Headline is disturbed area (area_ha) in natural grasslands, shrublands and savannas over 2024.",,
m-dist-quant-05,quantification,by_driver,PER,,,2024-06-01,2024-08-31,,,driver,,,,absolute_date_range,en,direct,1,"Headline is disturbed area (area_ha) by driver for 1 Jun to 31 Aug 2024; the window is well before the recent 90-day LDACS gap so the driver breakdown is fully classified.",,
m-dist-quant-06,quantification,by_natural_lands,BRA,,,2024-07-01,2024-07-31,,,natural_lands,,,,absolute_date,en,direct,2,"Headline is disturbed area (area_ha) within natural land classes for July 2024 (single month).",,
m-dist-quant-07,quantification,by_land_cover,GHA,,,2024-01-01,2024-12-31,,,land_cover,,,,absolute_date_range,en,conversational,1,"Headline is disturbed area (area_ha) by land-cover class over 2024.",,
m-dist-quant-08,quantification,by_driver,IDN,,,2024-07-01,2025-06-30,,,driver,,,,relative_recent,en,imprecise,1,"Relative 'last twelve months' resolved to 2024-07-01..2025-06-30. LDACS classification is unavailable for roughly the most recent 90 days (about Apr to Jun 2025), so the driver breakdown should carry that caveat or omit that tail; the classified portion area_ha must still match ground truth.",quarterly LDACS gap,
m-dist-quant-09,quantification,by_grasslands,MEX,,,2024-04-01,2024-09-30,,,grasslands,,,,absolute_date_range,en,direct,1,"Headline is disturbed area (area_ha) in natural grasslands, shrublands and savannas for 1 Apr to 30 Sep 2024.",,
m-dist-quant-10,quantification,by_natural_lands,CRI,,,2024-01-01,2024-03-31,,,natural_lands,,,,absolute_date_range,en,imprecise,1,"Headline is disturbed area (area_ha) within natural land classes for 1 Jan to 31 Mar 2024; magnitudes are small, honest rounding in hectares passes.",near-zero AOI,
m-dist-quant-11,quantification,by_land_cover,MYS,,,2024-02-01,2024-04-30,,,land_cover,,,,absolute_date_range,en,direct,1,"Headline is disturbed area (area_ha) by land-cover class for 1 Feb to 30 Apr 2024.",,
