query,expected_aoi_ids,expected_subregion,expected_aoi_source,expected_dataset_id,expected_dataset_name,expected_context_layer,expected_start_date,expected_end_date,expected_answer,expected_clarification,expected_chart_type,expected_canopy_cover,expected_forest_filter,expected_intersections,expected_crop_types,expected_gas_types,judge_instruction,expected_language,test_group,status,test_id,intent,eval_subtype,manifest_id
"Which country lost more tree cover across all forest types in 2023, Brazil or Indonesia, and by how much?",BRA;IDN,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,,,,,"All forest types, so no forest-type filter should be applied.",,GT-COMP,ready,gt-comp-01,comparison,two_country,m-tcl-comp-01
"Compare total tree cover loss, including plantations, in Indonesia and the Democratic Republic of the Congo from 2020 to 2023. Which country lost more?",IDN;COD,country,gadm,4,tree_cover_loss,,2020-01-01,2023-12-31,,,,30,,,,,"All tree cover including plantations, so no forest-type filter should be applied.",,GT-COMP,ready,gt-comp-02,comparison,two_country,m-tcl-comp-02
Did Costa Rica or the United Kingdom lose more tree cover across all forest types in 2022?,CRI;GBR,country,gadm,4,tree_cover_loss,,2022-01-01,2022-12-31,,,,30,,,,,"All forest types, so no forest-type filter should be applied.",,GT-COMP,ready,gt-comp-03,comparison,two_country,m-tcl-comp-03
"Which country lost more primary forest in 2023, Brazil or the Democratic Republic of the Congo?",BRA;COD,country,gadm,4,tree_cover_loss,primary_forest,2023-01-01,2023-12-31,,,,30,primary_forest,,,,"The user explicitly asked for primary forest, so the primary forest context layer should be applied.",,GT-COMP,ready,gt-comp-04,comparison,two_country,m-tcl-comp-04
"Did Brazil lose more tree cover, across all forest types, in the period 2011 to 2015 or 2016 to 2020?",BRA,country,gadm,4,tree_cover_loss,,2011-01-01,2020-12-31,,,,30,,,,,Compare the all-forest-types totals for 2011-2015 vs 2016-2020; no forest-type filter should be applied.,,GT-COMP,ready,gt-comp-05,comparison,two_period,m-tcl-comp-05
"How did Indonesia's tree cover loss across all forest types in 2020 compare with 2015, and how big was the difference?",IDN,country,gadm,4,tree_cover_loss,,2015-01-01,2020-12-31,,,,30,,,,,"Only 2015 and 2020 need to be compared; intermediate years are context. All forest types, so no forest-type filter should be applied.",,GT-COMP,ready,gt-comp-06,comparison,two_period,m-tcl-comp-06
"Compare tree cover loss, across all forest types, in the Democratic Republic of the Congo between 2012-2015 and 2020-2023. Which period was worse?",COD,country,gadm,4,tree_cover_loss,,2012-01-01,2023-12-31,,,,30,,,,,Compare the four-year all-forest-types totals 2012-2015 vs 2020-2023; no forest-type filter should be applied.,,GT-COMP,ready,gt-comp-07,comparison,two_period,m-tcl-comp-07
"Between the United Kingdom and Costa Rica, which had the higher total tree cover loss across all forest types from 2018 to 2023, and what were the totals?",GBR;CRI,country,gadm,4,tree_cover_loss,,2018-01-01,2023-12-31,,,,30,,,,,"All forest types, so no forest-type filter should be applied.",,GT-COMP,ready,gt-comp-08,comparison,two_country,m-tcl-comp-08
"Comparing Brazil and Indonesia for 2023, which one experienced greater tree cover loss when counting all forest types?",BRA;IDN,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,,,,,"The user asked across all forest types, so no forest-type filter should be applied.",en,GT-COMPA,ready,tcl-comp-01b,comparison,two_country,m-tcl-comp-01
"Between Brazil and the Democratic Republic of the Congo, which one saw greater primary forest loss during 2023?",BRA;COD,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,primary_forest,,,,,en,GT-COMPA,ready,tcl-comp-04b,comparison,two_country,m-tcl-comp-04
"Comparing Brazil's tree cover loss across all forest types, was the total higher from 2011 to 2015 or from 2016 to 2020?",BRA,country,gadm,4,tree_cover_loss,,2011-01-01,2020-12-31,,,,30,,,,,Compare the two halves of the window (2011-2015 vs 2016-2020).,en,GT-COMPA,ready,tcl-comp-05b,comparison,two_period,m-tcl-comp-05
"Comparing the United Kingdom and Costa Rica, which country experienced greater tree cover loss across all forest types between 2018 and 2023?",GBR;CRI,country,gadm,4,tree_cover_loss,,2018-01-01,2023-12-31,,,,30,,,,,Both values are small; the comparative direction must still be correct.,en,GT-COMPA,ready,tcl-comp-08b,comparison,two_country,m-tcl-comp-08
I'm curious about primary forest loss in 2022 - did Indonesia or the Democratic Republic of the Congo lose more that year?,IDN;COD,country,gadm,4,tree_cover_loss,,2022-01-01,2022-12-31,,,,30,primary_forest,,,,,en,GT-COMPA,ready,tcl-comp-09a,comparison,two_country,m-tcl-comp-09
"Trying to get a feel for this: between Indonesia and the Democratic Republic of the Congo, which one saw bigger primary forest losses in 2022?",IDN;COD,country,gadm,4,tree_cover_loss,,2022-01-01,2022-12-31,,,,30,primary_forest,,,,,en,GT-COMPA,ready,tcl-comp-09b,comparison,two_country,m-tcl-comp-09
"Which country lost more tree cover in 2022, Brazil or Indonesia, across all forest types at a 75% canopy density threshold?",BRA;IDN,country,gadm,4,tree_cover_loss,,2022-01-01,2022-12-31,,,,75,,,,,The 75% canopy threshold must be applied to both countries.,en,GT-COMPA,ready,tcl-comp-10a,comparison,two_country,m-tcl-comp-10
"Comparing Brazil and Indonesia, which had greater tree cover loss in 2022 when counting all tree cover at a 75% canopy threshold?",BRA;IDN,country,gadm,4,tree_cover_loss,,2022-01-01,2022-12-31,,,,75,,,,,The 75% canopy threshold must be applied to both countries.,en,GT-COMPA,ready,tcl-comp-10b,comparison,two_country,m-tcl-comp-10
"Quick q - in 2023, who lost more tree cover, the UK or Costa Rica? Countin all forest types, not just some special forest.",GBR;CRI,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,,,,,Both values are small; the comparative direction must still be correct.,en,GT-COMPA,ready,tcl-comp-11a,comparison,two_country,m-tcl-comp-11
"So like, between the United Kingdom and Costa Rica, which one had more tree cover loss in 2023 - across all forest types I mean, not just primary or whatever?",GBR;CRI,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,,,,,Both values are small; the comparative direction must still be correct.,en,GT-COMPA,ready,tcl-comp-11b,comparison,two_country,m-tcl-comp-11
"Between Brazil and the Democratic Republic of the Congo, which country generated higher carbon emissions from tree cover loss across all forest types in 2023?",BRA;COD,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,,,,,The question asks which country emitted more GHG from tree cover loss; compare the carbon_emissions_MgCO2e column.,en,GT-COMPA,ready,tcl-comp-12a,comparison,two_country,m-tcl-comp-12
