query,expected_aoi_ids,expected_subregion,expected_aoi_source,expected_dataset_id,expected_dataset_name,expected_context_layer,expected_start_date,expected_end_date,expected_answer,expected_clarification,expected_chart_type,expected_canopy_cover,expected_forest_filter,expected_intersections,expected_crop_types,expected_gas_types,judge_instruction,expected_language,test_group,status,test_id,intent,eval_subtype,manifest_id
"How many hectares of tree cover, including plantations, did Brazil lose in 2023?",BRA,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,,,,,"The user asked for all tree cover including plantations, so no forest-type filter should be applied.",,GT-QUANT,ready,gt-quant-01,quantification,single_year,m-tcl-quant-01
"Across all forest types, how much tree cover did the Democratic Republic of the Congo lose in 2022?",COD,country,gadm,4,tree_cover_loss,,2022-01-01,2022-12-31,,,,30,,,,,"The user asked for all forest types, so no forest-type filter should be applied.",,GT-QUANT,ready,gt-quant-02,quantification,single_year,m-tcl-quant-02
"What was Indonesia's total tree cover loss, including plantations, from 2015 to 2020?",IDN,country,gadm,4,tree_cover_loss,,2015-01-01,2020-12-31,,,,30,,,,,"The user asked for all tree cover including plantations, so no forest-type filter should be applied.",,GT-QUANT,ready,gt-quant-03,quantification,multi_year_total,m-tcl-quant-03
"How much tree cover, across all forest types, has Costa Rica lost in total between 2001 and 2023?",CRI,country,gadm,4,tree_cover_loss,,2001-01-01,2023-12-31,,,,30,,,,,"The user asked for all forest types, so no forest-type filter should be applied.",,GT-QUANT,ready,gt-quant-04,quantification,multi_year_total,m-tcl-quant-04
"Using a 75% canopy density threshold, how much tree cover did Brazil lose in 2022?",BRA,country,gadm,4,tree_cover_loss,,2022-01-01,2022-12-31,,,,75,,,,,"The user explicitly set a 75% canopy density threshold, which must be used instead of the 30% default.",,GT-QUANT,ready,gt-quant-05,quantification,canopy_threshold,m-tcl-quant-05
"How much tree cover did Indonesia lose in 2021, counting only areas with at least 50% canopy density?",IDN,country,gadm,4,tree_cover_loss,,2021-01-01,2021-12-31,,,,50,,,,,"The user explicitly set a 50% canopy density threshold, which must be used instead of the 30% default.",,GT-QUANT,ready,gt-quant-06,quantification,canopy_threshold,m-tcl-quant-06
How many hectares of primary forest were lost in the Democratic Republic of the Congo in 2023?,COD,country,gadm,4,tree_cover_loss,primary_forest,2023-01-01,2023-12-31,,,,30,primary_forest,,,,"The user explicitly asked for primary forest, so the primary forest context layer should be applied.",,GT-QUANT,ready,gt-quant-07,quantification,primary_forest,m-tcl-quant-07
"What has been the dominant driver of tree cover loss in Brazil, and how many hectares of loss are attributed to it?",BRA,country,gadm,8,tree_cover_loss_by_dominant_driver,,2001-01-01,2025-12-31,,,,30,,driver,,,"This dataset aggregates drivers across the whole record (2001-2025), not a per-year timeseries; it is not date-filterable, so per-year or sub-range driver figures must not be required. Per the dataset guidance the 'Unknown' class is excluded from driver analysis, so the dominant-driver share may be reported as a percentage of total or of known (non-Unknown) loss.",,GT-QUANT,ready,gt-quant-08,quantification,driver_share,m-tcl-quant-08
How much deforestation occurred in Brazil in 2023?,BRA,country,gadm,4,tree_cover_loss,primary_forest,2023-01-01,2023-12-31,,,,30,primary_forest,,,,"Per the dataset guidance, general 'deforestation' requests default to the primary forest context layer for AOIs within its pan-tropical extent, so ground truth reflects primary forest loss.",,GT-QUANT,ready,gt-quant-09,quantification,deforestation_default,m-tcl-quant-09
How much intact forest loss did the Democratic Republic of the Congo experience in 2023?,COD,country,gadm,4,tree_cover_loss,intact_forest,2023-01-01,2023-12-31,,,,30,intact_forest,,,,"The user explicitly asked for intact forest, so the intact forest context layer should be applied.",,GT-QUANT,ready,gt-quant-10,quantification,intact_forest,m-tcl-quant-10
"How much of Indonesia's 2020 tree cover loss was caused by fires, and how much by other causes?",IDN,country,gadm,10,tree_cover_loss_from_fires,,2020-01-01,2020-12-31,,,,30,,fire,,,"Loss is split into fire-driven and non-fire area, and the two sum to the total tree cover loss. Carbon emissions are not reported for this dataset and their absence must not be penalised.",,GT-QUANT,ready,gt-quant-11,quantification,fires_split,m-tcl-quant-11
What was the total area of tree cover loss across all forest types in Brazil during 2023?,BRA,country,gadm,4,tree_cover_loss,,2023-01-01,2023-12-31,,,,30,,,,,"The user asked for all tree cover including plantations, so no forest-type filter should be applied.",en,GT-QUANT,ready,tcl-quant-01b,quantification,single_year,m-tcl-quant-01
