test_id,status,query,Data,Analysis type,Analysis description,AOI type,expected_aoi_ids,expected_subregion,expected_aoi_source,expected_dataset_id,expected_dataset_name,expected_context_layer,expected_start_date,expected_end_date,expected_class_1,expected_class_2,expected_threshold,value_1,value_2,expected_answer,expected_guardrail_answer,expected_clarification,test_group,priority
1-001,,True or false: Mount Hakusan had more area with high confidence disturbance alerts in August 2023 than August 2024,Global All Ecosystem Disturbance Alerts (DIST-ALERT),temporal,Refers to specific years or date ranges,kba,15060,,kba,0,Global All Ecosystem Disturbance Alerts (DIST-ALERT),,8/1/2023,8/31/2024,,,,,,TRUE,,,,
1-002,,How much of Virunga National Park was impacted by high confidence disturbance alerts in the second half of 2024?,Global All Ecosystem Disturbance Alerts (DIST-ALERT),direct,Straightforward query targeting one area or dataset,wdpa,,,wdpa,0,Global All Ecosystem Disturbance Alerts (DIST-ALERT),,7/1/2024,12/31/2024,,,,,,198.4 hectares ,,,,
1-003,,"What was the total area affected by high conf. disturbance alerts between January 2023 to April 2023 across Indigenous and Community lands in Ucayali, Peru?",Global All Ecosystem Disturbance Alerts (DIST-ALERT),parent child grouping,Groups child areas in a larger one,Landmark,,state-province,Landmark,0,Global All Ecosystem Disturbance Alerts (DIST-ALERT),,1/1/2023,4/30/2023,,,,,,26.95 hectares,,,,
1-004,Not doing,"Which country had the most distrubed area in 2023, Australia or Brazil?",Global All Ecosystem Disturbance Alerts (DIST-ALERT),comparative direct,Compares two named areas,gadm 0,BRA;AUS,country,gadm,0,Global All Ecosystem Disturbance Alerts (DIST-ALERT),,1/1/2023,12/31/2023,,,,,,,,,,
1-005,,"Which country had the most distrubed area in November 2023, Australia or Brazil?",Global All Ecosystem Disturbance Alerts (DIST-ALERT),comparative direct,Compares two named areas,gadm 0,BRA;AUS,country,gadm,0,Global All Ecosystem Disturbance Alerts (DIST-ALERT),,11/1/2023,11/30/2023,,,,"10,847,000 hectares","264,000 hectares",Brazil,,,,
1-006,,"In what district in Amapá, Brazil were natural lands most at risk in Q1 2024?",Global All Ecosystem Disturbance Alerts (DIST-ALERT),comparative parent child,Compares sub-areas within a larger one,gadm 1,BRA.3_1,district,gadm,0,Global All Ecosystem Disturbance Alerts (DIST-ALERT),,1/1/2024,3/31/2024,,,,,,,,,,
1-007,,What percentage of disturbances in Occitanie (FRA) were due to Crop management in September 2023?,Global All Ecosystem Disturbance Alerts (DIST-ALERT),class comparison,Compares classes of data in a given location,gadm 1,FRA.11_1,state-province,gadm,0,Global All Ecosystem Disturbance Alerts (DIST-ALERT),,9/1/2023,9/30/2023,,,,,,0.20%,,,,
1-008,,What how much peatland area was disturbed Scotland in July 2023?,Global All Ecosystem Disturbance Alerts (DIST-ALERT),class comparison,Compares classes of data in a given location,gadm 1,GBR.3_1,state-province,gadm,0,Global All Ecosystem Disturbance Alerts (DIST-ALERT),,7/1/2023,7/31/2023,,,,,,,,,,
1-009,,What type of natural ecosystem in Uganda had the most disturbances in 2023?,Global All Ecosystem Disturbance Alerts (DIST-ALERT),class comparison,,gadm 0,UGA,country,gadm,0,Global All Ecosystem Disturbance Alerts (DIST-ALERT),,1/1/2023,12/31/2023,,,,,"2,847.8 hectares",natural short vegetation,,,,
1-010,,"What percentage of disturbances in Sara, Bolivia were high confidence during July 2023?",Global All Ecosystem Disturbance Alerts (DIST-ALERT),class comparison,Compares classes of data in a given location,gadm 2,BOL.8.12_1,district,gadm,0,Global All Ecosystem Disturbance Alerts (DIST-ALERT),,7/1/2023,7/31/2023,,,,,,93.40%,,,,
